PIN2,HOUSE_UNIT,PROPERTY_TYPE
10253190230000,1,1
10253190240000,1,1
10253190250000,1,1
10253190260000,1,1
10253190270000,1,1
10253190280000,1,1
10253190290000,1,1
10253190300000,1,1
10253190340000,1,1
10253190350000,1,1
10253190360000,1,1
10253190370000,1,1
10253190380000,1,1
10253190410000,1,1
10253190420000,1,1
10253190430000,1,1
10253190440000,1,1
10253190450000,1,1
10253200010000,1,1
10253200020000,1,1
10253200030000,1,1
10253200040000,1,1
10253200050000,1,1
10253200080000,1,1
10253200110000,1,1
10253200120000,1,1
10253200130000,0,5
10253200140000,1,1
10253200150000,1,1
10253200160000,0,5
10253200170000,1,1
10253200180000,1,1
10253200190000,1,1
10253200200000,1,1
10253200210000,1,1
10253200220000,1,1
10253200230000,1,1
10253200240000,1,1
10253200250000,1,1
10253200260000,1,1
10253200270000,1,1
10253200280000,1,1
10253200290000,0,5
10253200300000,0,5
10253200310000,0,5
10253200320000,0,5
10253200330000,0,5
10253200340000,0,5
10253200350000,0,5
10253200360000,0,5
10253200370000,0,5
10253200380000,0,5
10253200390000,1,1
10253200400000,0,5
10253200410000,0,5
10253200420000,1,1
10253210010000,0,5
10253210020000,1,1
10253210030000,1,1
10253210040000,1,1
10253210130000,1,1
10253210140000,1,1
10253210170000,1,1
10253210180000,1,1
10253210190000,1,1
10253210200000,1,1
10253210210000,1,1
10253210220000,1,1
10253210230000,1,1
10253210240000,1,1
10253210250000,0,5
10253210260000,0,5
10253210300000,1,1
10253210310000,1,1
10253210320000,1,1
10253210330000,1,1
10253210340000,1,1
10253210350000,1,1
10253210360000,1,1
10253210370000,1,1
10253210380000,1,1
10253220010000,1,1
10253220020000,1,1
10253220030000,1,1
10253220040000,1,1
10253220050000,1,1
10253220060000,1,1
10253220070000,1,1
10253220080000,1,1
10253220090000,1,1
10253220120000,1,1
10253220150000,1,1
10253220160000,1,1
10253220170000,1,1
10253220180000,1,1
10253220230000,1,1
10253220240000,1,1
10253220250000,1,1
10253220260000,1,1
10253220270000,1,1
10253220280000,1,1
10253220290000,1,1
